Year,All individuals,Retired,Non-retired
1977,13584,8629,14322
1978,15024,9237,15761
1979,15618,9188,16636
1980,16122,9506,17106
1981,15293,9877,16245
1982,15054,9895,15852
1983,15231,10685,16149
1984,15691,10692,16720
1985,16403,10743,17712
1986,17019,11032,18273
1987,17883,11388,19184
1988,19306,11281,20778
1989,19816,11584,21518
1990,20214,11841,21981
1991,20832,12717,22426
1992,20136,13400,21680
1993,19587,13759,20991
1994/95,20045,14227,21727
1995/96,20064,14495,21341
1996/97,21109,14772,22671
1997/98,21711,15760,23354
1998/99,22261,15898,23824
1999/00,23710,16543,25351
2000/01,24009,17032,25556
2001/02,25477,17438,27411
2002/03,26348,19027,28362
2003/04,26885,19639,28658
2004/05,27600,19992,29595
2005/06,27919,20492,29999
2006/07,27831,20507,30147
2007/08,28267,21084,30504
2008/09,27850,20786,29853
2009/10,28075,21754,29828
2010/11,27966,22511,29400
2011/12,27233,22444,28725
2012/13,26679,22132,28129
2013/14,27293,23039,28662
2014/15,28414,23371,30091
2015/16,29060,24119,30260
2016/17,29733,24798,31024
2017/18,29655,24855,31046
2018/19,30078,25107,31319
2019/20  (P),30773,25434,32141