,Year,Type,Value,Country
0,1965,Total tax revenue,10945,UK
1,1966,Total tax revenue,11946,UK
2,1967,Total tax revenue,13320,UK
3,1968,Total tax revenue,14976,UK
4,1969,Total tax revenue,16934,UK
5,1970,Total tax revenue,19080,UK
6,1971,Total tax revenue,20167,UK
7,1972,Total tax revenue,21474,UK
8,1973,Total tax revenue,23324,UK
9,1974,Total tax revenue,28900,UK
10,1975,Total tax revenue,37343,UK
11,1976,Total tax revenue,43954,UK
12,1977,Total tax revenue,50389,UK
13,1978,Total tax revenue,55380,UK
14,1979,Total tax revenue,63624,UK
15,1980,Total tax revenue,81153,UK
16,1981,Total tax revenue,92880,UK
17,1982,Total tax revenue,108233,UK
18,1983,Total tax revenue,113345,UK
19,1984,Total tax revenue,122092,UK
20,1985,Total tax revenue,133701,UK
21,1986,Total tax revenue,145729,UK
22,1987,Total tax revenue,154902,UK
23,1988,Total tax revenue,173088,UK
24,1989,Total tax revenue,186990,UK
25,1990,Total tax revenue,202368,UK
26,1991,Total tax revenue,205304,UK
27,1992,Total tax revenue,207654,UK
28,1993,Total tax revenue,211438,UK
29,1994,Total tax revenue,228041,UK
30,1995,Total tax revenue,249597,UK
31,1996,Total tax revenue,264778,UK
32,1997,Total tax revenue,284587,UK
33,1998,Total tax revenue,312365,UK
34,1999,Total tax revenue,332778,UK
35,2000,Total tax revenue,359690,UK
36,2001,Total tax revenue,369143,UK
37,2002,Total tax revenue,374624,UK
38,2003,Total tax revenue,392640,UK
39,2004,Total tax revenue,424991,UK
40,2005,Total tax revenue,454976,UK
41,2006,Total tax revenue,483578,UK
42,2007,Total tax revenue,509308,UK
43,2008,Total tax revenue,512205,UK
44,2009,Total tax revenue,481292,UK
45,2010,Total tax revenue,515253,UK
46,2011,Total tax revenue,546130,UK
47,2012,Total tax revenue,550431,UK
48,2013,Total tax revenue,570196,UK
49,2014,Total tax revenue,590196,UK
50,2015,Total tax revenue,611338,UK
51,2016,Total tax revenue,649143,UK
52,2017,Total tax revenue,681497,UK
53,2018,Total tax revenue,704795,UK
54,2019,Total tax revenue,726723,UK
55,2020,Total tax revenue,690450,UK
56,2021,Total tax revenue,775646,UK
57,1965,Income tax,3615,UK
58,1966,Income tax,4446,UK
59,1967,Income tax,4115,UK
60,1968,Income tax,4585,UK
61,1969,Income tax,5157,UK
62,1970,Income tax,5752,UK
63,1971,Income tax,6493,UK
64,1972,Income tax,6687,UK
65,1973,Income tax,7371,UK
66,1974,Income tax,9869,UK
67,1975,Income tax,14448,UK
68,1976,Income tax,16801,UK
69,1977,Income tax,17453,UK
70,1978,Income tax,18785,UK
71,1979,Income tax,20355,UK
72,1980,Income tax,23376,UK
73,1981,Income tax,26958,UK
74,1982,Income tax,29786,UK
75,1983,Income tax,31023,UK
76,1984,Income tax,32064,UK
77,1985,Income tax,33965,UK
78,1986,Income tax,39283,UK
79,1987,Income tax,40040,UK
80,1988,Income tax,43268,UK
81,1989,Income tax,46546,UK
82,1990,Income tax,57614,UK
83,1991,Income tax,58951,UK
84,1992,Income tax,61021,UK
85,1993,Income tax,60987,UK
86,1994,Income tax,65717,UK
87,1995,Income tax,71121,UK
88,1996,Income tax,71206,UK
89,1997,Income tax,72525,UK
90,1998,Income tax,85903,UK
91,1999,Income tax,93079,UK
92,2000,Income tax,101925,UK
93,2001,Income tax,107661,UK
94,2002,Income tax,108525,UK
95,2003,Income tax,110203,UK
96,2004,Income tax,117369,UK
97,2005,Income tax,127803,UK
98,2006,Income tax,136611,UK
99,2007,Income tax,147309,UK
100,2008,Income tax,149228,UK
101,2009,Income tax,138023,UK
102,2010,Income tax,144502,UK
103,2011,Income tax,149353,UK
104,2012,Income tax,146474,UK
105,2013,Income tax,152668,UK
106,2014,Income tax,156187,UK
107,2015,Income tax,163291,UK
108,2016,Income tax,169076,UK
109,2017,Income tax,177403,UK
110,2018,Income tax,184957,UK
111,2019,Income tax,191303,UK
112,2020,Income tax,186966,UK
113,2021,Income tax,218021,UK
114,1965,Employee National Insurance,770,UK
115,1966,Employee National Insurance,808,UK
116,1967,Employee National Insurance,854,UK
117,1968,Employee National Insurance,953,UK
118,1969,Employee National Insurance,992,UK
119,1970,Employee National Insurance,1171,UK
120,1971,Employee National Insurance,1237,UK
121,1972,Employee National Insurance,1468,UK
122,1973,Employee National Insurance,1693,UK
123,1974,Employee National Insurance,1991,UK
124,1975,Employee National Insurance,2562,UK
125,1976,Employee National Insurance,3114,UK
126,1977,Employee National Insurance,3520,UK
127,1978,Employee National Insurance,3690,UK
128,1979,Employee National Insurance,4284,UK
129,1980,Employee National Insurance,5228,UK
130,1981,Employee National Insurance,6552,UK
131,1982,Employee National Insurance,8016,UK
132,1983,Employee National Insurance,9413,UK
133,1984,Employee National Insurance,10200,UK
134,1985,Employee National Insurance,11220,UK
135,1986,Employee National Insurance,12625,UK
136,1987,Employee National Insurance,12513,UK
137,1988,Employee National Insurance,13564,UK
138,1989,Employee National Insurance,14140,UK
139,1990,Employee National Insurance,13296,UK
140,1991,Employee National Insurance,13828,UK
141,1992,Employee National Insurance,14104,UK
142,1993,Employee National Insurance,14748,UK
143,1994,Employee National Insurance,17357,UK
144,1995,Employee National Insurance,18646,UK
145,1996,Employee National Insurance,19149,UK
146,1997,Employee National Insurance,21558,UK
147,1998,Employee National Insurance,22528,UK
148,1999,Employee National Insurance,23573,UK
149,2000,Employee National Insurance,24175,UK
150,2001,Employee National Insurance,25236,UK
151,2002,Employee National Insurance,25357,UK
152,2003,Employee National Insurance,29055,UK
153,2004,Employee National Insurance,32805,UK
154,2005,Employee National Insurance,35159,UK
155,2006,Employee National Insurance,37052,UK
156,2007,Employee National Insurance,36585,UK
157,2008,Employee National Insurance,38186,UK
158,2009,Employee National Insurance,37184,UK
159,2010,Employee National Insurance,38703,UK
160,2011,Employee National Insurance,40626,UK
161,2012,Employee National Insurance,41159,UK
162,2013,Employee National Insurance,41481,UK
163,2014,Employee National Insurance,42556,UK
164,2015,Employee National Insurance,44488,UK
165,2016,Employee National Insurance,47295,UK
166,2017,Employee National Insurance,50397,UK
167,2018,Employee National Insurance,52203,UK
168,2019,Employee National Insurance,56222,UK
169,2020,Employee National Insurance,56847,UK
170,2021,Employee National Insurance,61073,UK
171,1965,Self employed National Insurance,75,UK
172,1966,Self employed National Insurance,79,UK
173,1967,Self employed National Insurance,82,UK
174,1968,Self employed National Insurance,94,UK
175,1969,Self employed National Insurance,99,UK
176,1970,Self employed National Insurance,114,UK
177,1971,Self employed National Insurance,120,UK
178,1972,Self employed National Insurance,144,UK
179,1973,Self employed National Insurance,169,UK
180,1974,Self employed National Insurance,193,UK
181,1975,Self employed National Insurance,195,UK
182,1976,Self employed National Insurance,228,UK
183,1977,Self employed National Insurance,277,UK
184,1978,Self employed National Insurance,319,UK
185,1979,Self employed National Insurance,264,UK
186,1980,Self employed National Insurance,317,UK
187,1981,Self employed National Insurance,355,UK
188,1982,Self employed National Insurance,482,UK
189,1983,Self employed National Insurance,552,UK
190,1984,Self employed National Insurance,600,UK
191,1985,Self employed National Insurance,745,UK
192,1986,Self employed National Insurance,725,UK
193,1987,Self employed National Insurance,755,UK
194,1988,Self employed National Insurance,942,UK
195,1989,Self employed National Insurance,1048,UK
196,1990,Self employed National Insurance,1177,UK
197,1991,Self employed National Insurance,1206,UK
198,1992,Self employed National Insurance,1281,UK
199,1993,Self employed National Insurance,1472,UK
200,1994,Self employed National Insurance,1469,UK
201,1995,Self employed National Insurance,1541,UK
202,1996,Self employed National Insurance,1771,UK
203,1997,Self employed National Insurance,1848,UK
204,1998,Self employed National Insurance,1729,UK
205,1999,Self employed National Insurance,1883,UK
206,2000,Self employed National Insurance,2049,UK
207,2001,Self employed National Insurance,2183,UK
208,2002,Self employed National Insurance,2318,UK
209,2003,Self employed National Insurance,2595,UK
210,2004,Self employed National Insurance,2727,UK
211,2005,Self employed National Insurance,2825,UK
212,2006,Self employed National Insurance,2930,UK
213,2007,Self employed National Insurance,2860,UK
214,2008,Self employed National Insurance,3053,UK
215,2009,Self employed National Insurance,2850,UK
216,2010,Self employed National Insurance,2756,UK
217,2011,Self employed National Insurance,2641,UK
218,2012,Self employed National Insurance,2560,UK
219,2013,Self employed National Insurance,2585,UK
220,2014,Self employed National Insurance,2672,UK
221,2015,Self employed National Insurance,3194,UK
222,2016,Self employed National Insurance,3295,UK
223,2017,Self employed National Insurance,3580,UK
224,2018,Self employed National Insurance,3848,UK
225,2019,Self employed National Insurance,4356,UK
226,2020,Self employed National Insurance,4101,UK
227,2021,Self employed National Insurance,4105,UK
228,1965,Employers NI,831,UK
229,1966,Employers NI,906,UK
230,1967,Employers NI,976,UK
231,1968,Employers NI,1101,UK
232,1969,Employers NI,1136,UK
233,1970,Employers NI,1354,UK
234,1971,Employers NI,1453,UK
235,1972,Employers NI,1708,UK
236,1973,Employers NI,2054,UK
237,1974,Employers NI,2791,UK
238,1975,Employers NI,4068,UK
239,1976,Employers NI,5066,UK
240,1977,Employers NI,5694,UK
241,1978,Employers NI,6069,UK
242,1979,Employers NI,6889,UK
243,1980,Employers NI,8210,UK
244,1981,Employers NI,8814,UK
245,1982,Employers NI,9344,UK
246,1983,Employers NI,10536,UK
247,1984,Employers NI,11269,UK
248,1985,Employers NI,12245,UK
249,1986,Employers NI,13540,UK
250,1987,Employers NI,14395,UK
251,1988,Employers NI,16176,UK
252,1989,Employers NI,18145,UK
253,1990,Employers NI,19984,UK
254,1991,Employers NI,21159,UK
255,1992,Employers NI,21621,UK
256,1993,Employers NI,23038,UK
257,1994,Employers NI,23240,UK
258,1995,Employers NI,24210,UK
259,1996,Employers NI,25579,UK
260,1997,Employers NI,27200,UK
261,1998,Employers NI,28731,UK
262,1999,Employers NI,31286,UK
263,2000,Employers NI,34028,UK
264,2001,Employers NI,35706,UK
265,2002,Employers NI,35735,UK
266,2003,Employers NI,39890,UK
267,2004,Employers NI,43692,UK
268,2005,Employers NI,46475,UK
269,2006,Employers NI,49568,UK
270,2007,Employers NI,53765,UK
271,2008,Employers NI,57080,UK
272,2009,Employers NI,54411,UK
273,2010,Employers NI,55887,UK
274,2011,Employers NI,58174,UK
275,2012,Employers NI,60600,UK
276,2013,Employers NI,62019,UK
277,2014,Employers NI,63892,UK
278,2015,Employers NI,66491,UK
279,2016,Employers NI,71373,UK
280,2017,Employers NI,76472,UK
281,2018,Employers NI,79327,UK
282,2019,Employers NI,82728,UK
283,2020,Employers NI,84042,UK
284,2021,Employers NI,89367,UK
285,1965,Capital gains,3,UK
286,1966,Capital gains,7,UK
287,1967,Capital gains,22,UK
288,1968,Capital gains,51,UK
289,1969,Capital gains,156,UK
290,1970,Capital gains,264,UK
291,1971,Capital gains,245,UK
292,1972,Capital gains,276,UK
293,1973,Capital gains,377,UK
294,1974,Capital gains,496,UK
295,1975,Capital gains,488,UK
296,1976,Capital gains,420,UK
297,1977,Capital gains,403,UK
298,1978,Capital gains,416,UK
299,1979,Capital gains,529,UK
300,1980,Capital gains,492,UK
301,1981,Capital gains,487,UK
302,1982,Capital gains,592,UK
303,1983,Capital gains,643,UK
304,1984,Capital gains,694,UK
305,1985,Capital gains,855,UK
306,1986,Capital gains,971,UK
307,1987,Capital gains,1230,UK
308,1988,Capital gains,2172,UK
309,1989,Capital gains,2002,UK
310,1990,Capital gains,1892,UK
311,1991,Capital gains,1359,UK
312,1992,Capital gains,1073,UK
313,1993,Capital gains,785,UK
314,1994,Capital gains,821,UK
315,1995,Capital gains,852,UK
316,1996,Capital gains,972,UK
317,1997,Capital gains,482,UK
318,1998,Capital gains,1460,UK
319,1999,Capital gains,1971,UK
320,2000,Capital gains,2211,UK
321,2001,Capital gains,3400,UK
322,2002,Capital gains,2820,UK
323,2003,Capital gains,1526,UK
324,2004,Capital gains,2296,UK
325,2005,Capital gains,2332,UK
326,2006,Capital gains,2874,UK
327,2007,Capital gains,3848,UK
328,2008,Capital gains,5288,UK
329,2009,Capital gains,7815,UK
330,2010,Capital gains,2517,UK
331,2011,Capital gains,3600,UK
332,2012,Capital gains,4334,UK
333,2013,Capital gains,3902,UK
334,2014,Capital gains,3914,UK
335,2015,Capital gains,5582,UK
336,2016,Capital gains,7060,UK
337,2017,Capital gains,8560,UK
338,2018,Capital gains,7797,UK
339,2019,Capital gains,9187,UK
340,2020,Capital gains,10253,UK
341,2021,Capital gains,12109,UK
342,1965,Corporation tax,484,UK
343,1966,Corporation tax,141,UK
344,1967,Corporation tax,1171,UK
345,1968,Corporation tax,1287,UK
346,1969,Corporation tax,1358,UK
347,1970,Corporation tax,1658,UK
348,1971,Corporation tax,1527,UK
349,1972,Corporation tax,1429,UK
350,1973,Corporation tax,1939,UK
351,1974,Corporation tax,2847,UK
352,1975,Corporation tax,2310,UK
353,1976,Corporation tax,2168,UK
354,1977,Corporation tax,3037,UK
355,1978,Corporation tax,3839,UK
356,1979,Corporation tax,4884,UK
357,1980,Corporation tax,6783,UK
358,1981,Corporation tax,8471,UK
359,1982,Corporation tax,10492,UK
360,1983,Corporation tax,12069,UK
361,1984,Corporation tax,13997,UK
362,1985,Corporation tax,16854,UK
363,1986,Corporation tax,15345,UK
364,1987,Corporation tax,16264,UK
365,1988,Corporation tax,18808,UK
366,1989,Corporation tax,23433,UK
367,1990,Corporation tax,20070,UK
368,1991,Corporation tax,16736,UK
369,1992,Corporation tax,12976,UK
370,1993,Corporation tax,12578,UK
371,1994,Corporation tax,15398,UK
372,1995,Corporation tax,20174,UK
373,1996,Corporation tax,24726,UK
374,1997,Corporation tax,32001,UK
375,1998,Corporation tax,34020,UK
376,1999,Corporation tax,32743,UK
377,2000,Corporation tax,38061,UK
378,2001,Corporation tax,34255,UK
379,2002,Corporation tax,31274,UK
380,2003,Corporation tax,31467,UK
381,2004,Corporation tax,38076,UK
382,2005,Corporation tax,47014,UK
383,2006,Corporation tax,50269,UK
384,2007,Corporation tax,50159,UK
385,2008,Corporation tax,45856,UK
386,2009,Corporation tax,38823,UK
387,2010,Corporation tax,45752,UK
388,2011,Corporation tax,45216,UK
389,2012,Corporation tax,43222,UK
390,2013,Corporation tax,43199,UK
391,2014,Corporation tax,45026,UK
392,2015,Corporation tax,43824,UK
393,2016,Corporation tax,54611,UK
394,2017,Corporation tax,54561,UK
395,2018,Corporation tax,54691,UK
396,2019,Corporation tax,51253,UK
397,2020,Corporation tax,50077,UK
398,2021,Corporation tax,61360,UK
399,1965,Property taxes,1591,UK
400,1966,Property taxes,1742,UK
401,1967,Property taxes,1875,UK
402,1968,Property taxes,2074,UK
403,1969,Property taxes,2265,UK
404,1970,Property taxes,2378,UK
405,1971,Property taxes,2679,UK
406,1972,Property taxes,3162,UK
407,1973,Property taxes,3166,UK
408,1974,Property taxes,3686,UK
409,1975,Property taxes,4746,UK
410,1976,Property taxes,5363,UK
411,1977,Property taxes,6057,UK
412,1978,Property taxes,6641,UK
413,1979,Property taxes,7902,UK
414,1980,Property taxes,9774,UK
415,1981,Property taxes,12386,UK
416,1982,Property taxes,13850,UK
417,1983,Property taxes,13981,UK
418,1984,Property taxes,14603,UK
419,1985,Property taxes,16007,UK
420,1986,Property taxes,18101,UK
421,1987,Property taxes,20393,UK
422,1988,Property taxes,22356,UK
423,1989,Property taxes,23676,UK
424,1990,Property taxes,16538,UK
425,1991,Property taxes,15374,UK
426,1992,Property taxes,15284,UK
427,1993,Property taxes,21194,UK
428,1994,Property taxes,23808,UK
429,1995,Property taxes,25033,UK
430,1996,Property taxes,27218,UK
431,1997,Property taxes,29641,UK
432,1998,Property taxes,32543,UK
433,1999,Property taxes,35988,UK
434,2000,Property taxes,41134,UK
435,2001,Property taxes,42247,UK
436,2002,Property taxes,44644,UK
437,2003,Property taxes,46555,UK
438,2004,Property taxes,50393,UK
439,2005,Property taxes,53838,UK
440,2006,Property taxes,59656,UK
441,2007,Property taxes,63392,UK
442,2008,Property taxes,60086,UK
443,2009,Property taxes,58413,UK
444,2010,Property taxes,61768,UK
445,2011,Property taxes,63405,UK
446,2012,Property taxes,65320,UK
447,2013,Property taxes,70889,UK
448,2014,Property taxes,74593,UK
449,2015,Property taxes,76427,UK
450,2016,Property taxes,81212,UK
451,2017,Property taxes,85545,UK
452,2018,Property taxes,88654,UK
453,2019,Property taxes,90329,UK
454,2020,Property taxes,80134,UK
455,2021,Property taxes,88393,UK
456,1965,Inheritance tax,287,UK
457,1966,Inheritance tax,308,UK
458,1967,Inheritance tax,317,UK
459,1968,Inheritance tax,380,UK
460,1969,Inheritance tax,450,UK
461,1970,Inheritance tax,383,UK
462,1971,Inheritance tax,404,UK
463,1972,Inheritance tax,483,UK
464,1973,Inheritance tax,419,UK
465,1974,Inheritance tax,380,UK
466,1975,Inheritance tax,307,UK
467,1976,Inheritance tax,390,UK
468,1977,Inheritance tax,393,UK
469,1978,Inheritance tax,372,UK
470,1979,Inheritance tax,418,UK
471,1980,Inheritance tax,479,UK
472,1981,Inheritance tax,1010,UK
473,1982,Inheritance tax,701,UK
474,1983,Inheritance tax,690,UK
475,1984,Inheritance tax,750,UK
476,1985,Inheritance tax,923,UK
477,1986,Inheritance tax,1025,UK
478,1987,Inheritance tax,1089,UK
479,1988,Inheritance tax,1107,UK
480,1989,Inheritance tax,1182,UK
481,1990,Inheritance tax,1321,UK
482,1991,Inheritance tax,1263,UK
483,1992,Inheritance tax,1227,UK
484,1993,Inheritance tax,1279,UK
485,1994,Inheritance tax,1438,UK
486,1995,Inheritance tax,1441,UK
487,1996,Inheritance tax,1621,UK
488,1997,Inheritance tax,1601,UK
489,1998,Inheritance tax,1795,UK
490,1999,Inheritance tax,1951,UK
491,2000,Inheritance tax,2215,UK
492,2001,Inheritance tax,2396,UK
493,2002,Inheritance tax,2381,UK
494,2003,Inheritance tax,2416,UK
495,2004,Inheritance tax,2871,UK
496,2005,Inheritance tax,3150,UK
497,2006,Inheritance tax,3575,UK
498,2007,Inheritance tax,3867,UK
499,2008,Inheritance tax,3257,UK
500,2009,Inheritance tax,2401,UK
501,2010,Inheritance tax,2642,UK
502,2011,Inheritance tax,2936,UK
503,2012,Inheritance tax,3129,UK
504,2013,Inheritance tax,4255,UK
505,2014,Inheritance tax,3886,UK
506,2015,Inheritance tax,4470,UK
507,2016,Inheritance tax,4804,UK
508,2017,Inheritance tax,5381,UK
509,2018,Inheritance tax,5352,UK
510,2019,Inheritance tax,5164,UK
511,2020,Inheritance tax,5252,UK
512,2021,Inheritance tax,6026,UK
513,1965,VAT,0,UK
514,1966,VAT,0,UK
515,1967,VAT,0,UK
516,1968,VAT,0,UK
517,1969,VAT,0,UK
518,1970,VAT,0,UK
519,1971,VAT,0,UK
520,1972,VAT,0,UK
521,1973,VAT,1533,UK
522,1974,VAT,2406,UK
523,1975,VAT,3326,UK
524,1976,VAT,3715,UK
525,1977,VAT,4308,UK
526,1978,VAT,5214,UK
527,1979,VAT,7952,UK
528,1980,VAT,11897,UK
529,1981,VAT,13056,UK
530,1982,VAT,14308,UK
531,1983,VAT,16216,UK
532,1984,VAT,18437,UK
533,1985,VAT,21228,UK
534,1986,VAT,22715,UK
535,1987,VAT,25021,UK
536,1988,VAT,28861,UK
537,1989,VAT,31737,UK
538,1990,VAT,34136,UK
539,1991,VAT,37523,UK
