,Year,Type,Value,Country
933,1986,Adjusted Capital gains,2440.2862311648796,UK
934,1987,Adjusted Capital gains,2968.023783660679,UK
935,1988,Adjusted Capital gains,5031.773864248088,UK
936,1989,Adjusted Capital gains,4385.346611696951,UK
937,1990,Adjusted Capital gains,3835.2706840312344,UK
938,1991,Adjusted Capital gains,2563.5837454038888,UK
939,1992,Adjusted Capital gains,1935.2523855674801,UK
940,1993,Adjusted Capital gains,1380.4781404711082,UK
941,1994,Adjusted Capital gains,1412.430729931545,UK
942,1995,Adjusted Capital gains,1427.227324956594,UK
943,1996,Adjusted Capital gains,1583.1261624200993,UK
944,1997,Adjusted Capital gains,768.14888329839,UK
945,1998,Adjusted Capital gains,2285.167971172889,UK
946,1999,Adjusted Capital gains,3031.918192710958,UK
947,2000,Adjusted Capital gains,3361.4365826143085,UK
948,2001,Adjusted Capital gains,5091.206477078291,UK
949,2002,Adjusted Capital gains,4159.482415913636,UK
950,2003,Adjusted Capital gains,2220.2017011637304,UK
951,2004,Adjusted Capital gains,3294.690761632137,UK
952,2005,Adjusted Capital gains,3277.8427622814465,UK
953,2006,Adjusted Capital gains,3942.6841126792388,UK
954,2007,Adjusted Capital gains,5155.641839095618,UK
955,2008,Adjusted Capital gains,6844.076562469281,UK
956,2009,Adjusted Capital gains,9920.248888743085,UK
957,2010,Adjusted Capital gains,3117.419935601769,UK
958,2011,Adjusted Capital gains,4293.053249138811,UK
959,2012,Adjusted Capital gains,5038.860393922743,UK
960,2013,Adjusted Capital gains,4435.039635965045,UK
961,2014,Adjusted Capital gains,4385.095039196435,UK
962,2015,Adjusted Capital gains,6230.804100656519,UK
963,2016,Adjusted Capital gains,7801.7960821845945,UK
964,2017,Adjusted Capital gains,9223.285376445174,UK
965,2018,Adjusted Capital gains,8213.083481742744,UK
966,2019,Adjusted Capital gains,9511.75567276,UK
967,2020,Adjusted Capital gains,10511.3756,UK
968,2021,Adjusted Capital gains,12109.0,UK
969,1965,Adjusted Corporation tax,8030.865056690217,UK
970,1966,Adjusted Corporation tax,2251.5351671012995,UK
971,1967,Adjusted Corporation tax,18246.408783278395,UK
972,1968,Adjusted Corporation tax,19153.686311326084,UK
973,1969,Adjusted Corporation tax,19165.80254216736,UK
974,1970,Adjusted Corporation tax,21998.476581461546,UK
975,1971,Adjusted Corporation tax,18512.754117403798,UK
976,1972,Adjusted Corporation tax,16180.667069838899,UK
977,1973,Adjusted Corporation tax,20105.707677707986,UK
978,1974,Adjusted Corporation tax,25440.24572915611,UK
979,1975,Adjusted Corporation tax,16618.40171205535,UK
980,1976,Adjusted Corporation tax,13380.951976774313,UK
981,1977,Adjusted Corporation tax,16181.32114464712,UK
982,1978,Adjusted Corporation tax,18893.79829759595,UK
983,1979,Adjusted Corporation tax,21192.743163030234,UK
984,1980,Adjusted Corporation tax,24949.494869917246,UK
985,1981,Adjusted Corporation tax,27849.805358823487,UK
986,1982,Adjusted Corporation tax,31762.59223318904,UK
987,1983,Adjusted Corporation tax,34926.55432287506,UK
988,1984,Adjusted Corporation tax,38591.84979000338,UK
989,1985,Adjusted Corporation tax,43809.77814217991,UK
990,1986,Adjusted Corporation tax,38564.564590345086,UK
991,1987,Adjusted Corporation tax,39245.478713379904,UK
992,1988,Adjusted Corporation tax,43571.64034934532,UK
993,1989,Adjusted Corporation tax,51329.58399195538,UK
994,1990,Adjusted Corporation tax,40683.870311050145,UK
995,1991,Adjusted Corporation tax,31570.373482766357,UK
996,1992,Adjusted Corporation tax,23403.38765621959,UK
997,1993,Adjusted Corporation tax,22119.30452337019,UK
998,1994,Adjusted Corporation tax,26490.387794745347,UK
999,1995,Adjusted Corporation tax,33794.46485173043,UK
1000,1996,Adjusted Corporation tax,40271.993304526106,UK
1001,1997,Adjusted Corporation tax,50999.02990546013,UK
1002,1998,Adjusted Corporation tax,53247.544095412115,UK
1003,1999,Adjusted Corporation tax,50367.37563872902,UK
1004,2000,Adjusted Corporation tax,57865.05552731035,UK
1005,2001,Adjusted Corporation tax,51293.905256563776,UK
1006,2002,Adjusted Corporation tax,46128.95499123512,UK
1007,2003,Adjusted Corporation tax,45781.8394040099,UK
1008,2004,Adjusted Corporation tax,54637.91177696222,UK
1009,2005,Adjusted Corporation tax,66082.54700939106,UK
1010,2006,Adjusted Corporation tax,68961.30398756877,UK
1011,2007,Adjusted Corporation tax,67204.22011621547,UK
1012,2008,Adjusted Corporation tax,59349.84395775177,UK
1013,2009,Adjusted Corporation tax,49281.35925881929,UK
1014,2010,Adjusted Corporation tax,56665.95029545178,UK
1015,2011,Adjusted Corporation tax,53920.74880918347,UK
1016,2012,Adjusted Corporation tax,50251.413000952656,UK
1017,2013,Adjusted Corporation tax,49100.27607228446,UK
1018,2014,Adjusted Corporation tax,50445.39837375031,UK
1019,2015,Adjusted Corporation tax,48917.728216978016,UK
1020,2016,Adjusted Corporation tax,60348.992329204375,UK
1021,2017,Adjusted Corporation tax,58788.746895353404,UK
1022,2018,Adjusted Corporation tax,57609.561203025834,UK
1023,2019,Adjusted Corporation tax,53064.76689844,UK
1024,2020,Adjusted Corporation tax,51338.9404,UK
1025,2021,Adjusted Corporation tax,61360.0,UK
1026,1965,Adjusted Property taxes,26398.97996940937,UK
1027,1966,Adjusted Property taxes,27816.83873113804,UK
1028,1967,Adjusted Property taxes,29216.068717888124,UK
1029,1968,Adjusted Property taxes,30866.15804948741,UK
1030,1969,Adjusted Property taxes,31966.52633137634,UK
1031,1970,Adjusted Property taxes,31551.494156040742,UK
1032,1971,Adjusted Property taxes,32479.154080238884,UK
1033,1972,Adjusted Property taxes,35803.547428152975,UK
1034,1973,Adjusted Property taxes,32828.607791450995,UK
1035,1974,Adjusted Property taxes,32937.388745229866,UK
1036,1975,Adjusted Property taxes,34143.26169931372,UK
1037,1976,Adjusted Property taxes,33100.5744702217,UK
1038,1977,Adjusted Property taxes,32272.06525292315,UK
1039,1978,Adjusted Property taxes,32683.957930277338,UK
1040,1979,Adjusted Property taxes,34288.504601610344,UK
1041,1980,Adjusted Property taxes,35951.10760114568,UK
1042,1981,Adjusted Property taxes,40721.01158946851,UK
1043,1982,Adjusted Property taxes,41928.31704438317,UK
1044,1983,Adjusted Property taxes,40459.7030398638,UK
1045,1984,Adjusted Property taxes,40262.683609589156,UK
1046,1985,Adjusted Property taxes,41608.11194505006,UK
1047,1986,Adjusted Property taxes,45490.855891159095,UK
1048,1987,Adjusted Property taxes,49208.8691221075,UK
1049,1988,Adjusted Property taxes,51791.13098947065,UK
1050,1989,Adjusted Property taxes,51861.87131795056,UK
1051,1990,Adjusted Property taxes,33524.15780787978,UK
1052,1991,Adjusted Property taxes,29001.130612096676,UK
1053,1992,Adjusted Property taxes,27566.074054998477,UK
1054,1993,Adjusted Property taxes,37271.151221840344,UK
1055,1994,Adjusted Property taxes,40958.77078953742,UK
1056,1995,Adjusted Property taxes,41934.01599253336,UK
1057,1996,Adjusted Property taxes,44330.79000900233,UK
1058,1997,Adjusted Property taxes,47237.96898308626,UK
1059,1998,Adjusted Property taxes,50935.76800402693,UK
1060,1999,Adjusted Property taxes,55359.04206965092,UK
1061,2000,Adjusted Property taxes,62537.01148315557,UK
1062,2001,Adjusted Property taxes,63261.23530503722,UK
1063,2002,Adjusted Property taxes,65849.62162271218,UK
1064,2003,Adjusted Property taxes,67733.61087659074,UK
1065,2004,Adjusted Property taxes,72312.43534448095,UK
1066,2005,Adjusted Property taxes,75674.31330862286,UK
1067,2006,Adjusted Property taxes,81838.81817188332,UK
1068,2007,Adjusted Property taxes,84934.10796880182,UK
1069,2008,Adjusted Property taxes,77767.2436332317,UK
1070,2009,Adjusted Property taxes,74148.62422753037,UK
1071,2010,Adjusted Property taxes,76502.50082727456,UK
1072,2011,Adjusted Property taxes,75611.40035045732,UK
1073,2012,Adjusted Property taxes,75943.32278057997,UK
1074,2013,Adjusted Property taxes,80572.9176714316,UK
1075,2014,Adjusted Property taxes,83571.12781266727,UK
1076,2015,Adjusted Property taxes,85310.22303849441,UK
1077,2016,Adjusted Property taxes,89744.966490988,UK
1078,2017,Adjusted Property taxes,92173.59200093486,UK
1079,2018,Adjusted Property taxes,93384.98178663861,UK
1080,2019,Adjusted Property taxes,93522.08317892,UK
1081,2020,Adjusted Property taxes,82153.3768,UK
1082,2021,Adjusted Property taxes,88393.0,UK
1083,1965,Adjusted Inheritance tax,4762.1038662605215,UK
1084,1966,Adjusted Inheritance tax,4918.247031682271,UK
1085,1967,Adjusted Inheritance tax,4939.463351237619,UK
1086,1968,Adjusted Inheritance tax,5655.323075605214,UK
1087,1969,Adjusted Inheritance tax,6350.965496299935,UK
1088,1970,Adjusted Inheritance tax,5081.674626477547,UK
1089,1971,Adjusted Inheritance tax,4897.93887585536,UK
1090,1972,Adjusted Inheritance tax,5469.042823465492,UK
1091,1973,Adjusted Inheritance tax,4344.657822052422,UK
1092,1974,Adjusted Inheritance tax,3395.6070871371,UK
1093,1975,Adjusted Inheritance tax,2208.5927816454514,UK
1094,1976,Adjusted Inheritance tax,2407.0900696226854,UK
1095,1977,Adjusted Inheritance tax,2093.927958461086,UK
1096,1978,Adjusted Inheritance tax,1830.8134844245099,UK
1097,1979,Adjusted Inheritance tax,1813.7933337728577,UK
1098,1980,Adjusted Inheritance tax,1761.8764621392247,UK
1099,1981,Adjusted Inheritance tax,3320.5410709965436,UK
1100,1982,Adjusted Inheritance tax,2122.1480323547003,UK
1101,1983,Adjusted Inheritance tax,1996.795300586941,UK
1102,1984,Adjusted Inheritance tax,2067.863638101203,UK
1103,1985,Adjusted Inheritance tax,2399.2182998239027,UK
1104,1986,Adjusted Inheritance tax,2575.997308902164,UK
1105,1987,Adjusted Inheritance tax,2627.7869108995765,UK
1106,1988,Adjusted Inheritance tax,2564.53667943031,UK
1107,1989,Adjusted Inheritance tax,2589.150696816082,UK
1108,1990,Adjusted Inheritance tax,2677.797343343161,UK
1109,1991,Adjusted Inheritance tax,2382.4917368985366,UK
1110,1992,Adjusted Inheritance tax,2213.005290858619,UK
1111,1993,Adjusted Inheritance tax,2249.2121549841368,UK
1112,1994,Adjusted Inheritance tax,2473.9042504769327,UK
1113,1995,Adjusted Inheritance tax,2413.8903465521735,UK
1114,1996,Adjusted Inheritance tax,2640.1723346532726,UK
1115,1997,Adjusted Inheritance tax,2551.46548166125,UK
1116,1998,Adjusted Inheritance tax,2809.504457709134,UK
1117,1999,Adjusted Inheritance tax,3001.152914246108,UK
1118,2000,Adjusted Inheritance tax,3367.517879009811,UK
1119,2001,Adjusted Inheritance tax,3587.8031526704663,UK
1120,2002,Adjusted Inheritance tax,3511.960153294456,UK
1121,2003,Adjusted Inheritance tax,3515.0768741884485,UK
1122,2004,Adjusted Inheritance tax,4119.7984218840875,UK
1123,2005,Adjusted Inheritance tax,4427.617796392177,UK
1124,2006,Adjusted Inheritance tax,4904.347843711997,UK
1125,2007,Adjusted Inheritance tax,5181.098490588034,UK
1126,2008,Adjusted Inheritance tax,4215.423102110902,UK
1127,2009,Adjusted Inheritance tax,3047.7949560936845,UK
1128,2010,Adjusted Inheritance tax,3272.2381683988374,UK
1129,2011,Adjusted Inheritance tax,3501.223427630986,UK
1130,2012,Adjusted Inheritance tax,3637.885134421842,UK
1131,2013,Adjusted Inheritance tax,4836.261827532359,UK
1132,2014,Adjusted Inheritance tax,4353.724916279343,UK
1133,2015,Adjusted Inheritance tax,4989.554699020896,UK
1134,2016,Adjusted Inheritance tax,5308.757560738639,UK
1135,2017,Adjusted Inheritance tax,5797.955445169566,UK
1136,2018,Adjusted Inheritance tax,5637.607130215104,UK
1137,2019,Adjusted Inheritance tax,5346.54471472,UK
1138,2020,Adjusted Inheritance tax,5384.350399999999,UK
1139,2021,Adjusted Inheritance tax,6026.0,UK
1140,1965,Adjusted VAT,0.0,UK
1141,1966,Adjusted VAT,0.0,UK
1142,1967,Adjusted VAT,0.0,UK
1143,1968,Adjusted VAT,0.0,UK
1144,1969,Adjusted VAT,0.0,UK
1145,1970,Adjusted VAT,0.0,UK
1146,1971,Adjusted VAT,0.0,UK
1147,1972,Adjusted VAT,0.0,UK
1148,1973,Adjusted VAT,15895.848308368406,UK
1149,1974,Adjusted VAT,21499.554346452267,UK
1150,1975,Adjusted VAT,23927.620820041597,UK
1151,1976,Adjusted VAT,22929.075919610965,UK
1152,1977,Adjusted VAT,22953.286628626865,UK
1153,1978,Adjusted VAT,25660.91803169192,UK
1154,1979,Adjusted VAT,34505.465526702785,UK
1155,1980,Adjusted VAT,43760.008914551894,UK
1156,1981,Adjusted VAT,42923.746755377106,UK
1157,1982,Adjusted VAT,43314.82745639238,UK
1158,1983,Adjusted VAT,46927.58347002585,UK
1159,1984,Adjusted VAT,50833.6025275625,UK
1160,1985,Adjusted VAT,55179.42152617747,UK
1161,1986,Adjusted VAT,57086.61353337821,UK
1162,1987,Adjusted VAT,60376.360236564105,UK
1163,1988,Adjusted VAT,66860.96938124497,UK
1164,1989,Adjusted VAT,69519.35335435871,UK
1165,1990,Adjusted VAT,69197.04020617876,UK
1166,1991,Adjusted VAT,70782.45244944085,UK
1167,1992,Adjusted VAT,74003.11335714751,UK
1168,1993,Adjusted VAT,73441.43707306296,UK
1169,1994,Adjusted VAT,76883.71415425182,UK
1170,1995,Adjusted VAT,79634.92934402761,UK
1171,1996,Adjusted VAT,84192.34319734544,UK
1172,1997,Adjusted VAT,86815.16684165933,UK
1173,1998,Adjusted VAT,90059.09581734032,UK
1174,1999,Adjusted VAT,95484.65650743141,UK
1175,2000,Adjusted VAT,98848.43226070426,UK
1176,2001,Adjusted VAT,101612.99421413404,UK
1177,2002,Adjusted VAT,106400.15019657661,UK
1178,2003,Adjusted VAT,114001.39219946609,UK
1179,2004,Adjusted VAT,118659.091363294,UK
1180,2005,Adjusted VAT,118982.0377291433,UK
1181,2006,Adjusted VAT,122116.20354010268,UK
1182,2007,Adjusted VAT,125104.70402383426,UK
1183,2008,Adjusted VAT,120928.41330139084,UK
1184,2009,Adjusted VAT,102975.10305215821,UK
1185,2010,Adjusted VAT,120939.04927762032,UK
1186,2011,Adjusted VAT,135332.5411051439,UK
1187,2012,Adjusted VAT,135402.80553692442,UK
1188,2013,Adjusted VAT,138052.25888885555,UK
1189,2014,Adjusted VAT,143010.7885713611,UK
1190,2015,Adjusted VAT,148353.86058793537,UK
1191,2016,Adjusted VAT,151631.11156103073,UK
1192,2017,Adjusted VAT,154492.18502867548,UK
1193,2018,Adjusted VAT,157271.54240837743,UK
1194,2019,Adjusted VAT,160475.02800207998,UK
1195,2020,Adjusted VAT,142975.4172,UK
1196,2021,Adjusted VAT,157118.0,UK
1197,1965,Tax % GDP,0.2684366568481596,UK
1198,1966,Tax % GDP,0.2776608499606137,UK
1199,1967,Tax % GDP,0.29398235146824386,UK
1200,1968,Tax % GDP,0.2993745443420881,UK
1201,1969,Tax % GDP,0.3149824623482158,UK
1202,1970,Tax % GDP,0.3248946224049672,UK
1203,1971,Tax % GDP,0.302863883702699,UK
1204,1972,Tax % GDP,0.2887950925690191,UK
1205,1973,Tax % GDP,0.26972316325008977,UK
1206,1974,Tax % GDP,0.29540942879307025,UK
1207,1975,Tax % GDP,0.31200977060610074,UK
1208,1976,Tax % GDP,0.30585614267934225,UK
1209,1977,Tax % GDP,0.2954905961250071,UK
1210,1978,Tax % GDP,0.2879563188974942,UK
1211,1979,Tax % GDP,0.2812125352170956,UK
1212,1980,Tax % GDP,0.3104428633236354,UK
1213,1981,Tax % GDP,0.31979175293141954,UK
1214,1982,Tax % GDP,0.3365110425498742,UK
1215,1983,Tax % GDP,0.32330219863499016,UK
1216,1984,Tax % GDP,0.3245230557081024,UK
1217,1985,Tax % GDP,0.3217697308033255,UK
1218,1986,Tax % GDP,0.3287162176920536,UK
1219,1987,Tax % GDP,0.3183099505812252,UK
1220,1988,Tax % GDP,0.32336153421473174,UK
1221,1989,Tax % GDP,0.32242574620485365,UK
1222,1990,Tax % GDP,0.320881390480412,UK
1223,1991,Tax % GDP,0.3065748329817827,UK
1224,1992,Tax % GDP,0.29555000444338897,UK
1225,1993,Tax % GDP,0.28654491860290754,UK
1226,1994,Tax % GDP,0.2913552438433515,UK
1227,1995,Tax % GDP,0.30270944538975464,UK
1228,1996,Tax % GDP,0.30637769569713325,UK
1229,1997,Tax % GDP,0.3082642130004622,UK
1230,1998,Tax % GDP,0.32213462808587634,UK
1231,1999,Tax % GDP,0.3274150869538019,UK
1232,2000,Tax % GDP,0.33601424508731936,UK
1233,2001,Tax % GDP,0.3324754831318599,UK
1234,2002,Tax % GDP,0.3265772560222813,UK
1235,2003,Tax % GDP,0.32739860886534744,UK
1236,2004,Tax % GDP,0.3415076129862591,UK
1237,2005,Tax % GDP,0.3488103881962717,UK
1238,2006,Tax % GDP,0.3541852722540534,UK
1239,2007,Tax % GDP,0.35521741783342503,UK
1240,2008,Tax % GDP,0.34562419105738357,UK
1241,2009,Tax % GDP,0.3335672847333061,UK
1242,2010,Tax % GDP,0.3401624423269979,UK
1243,2011,Tax % GDP,0.34348007398514513,UK
1244,2012,Tax % GDP,0.3326921845503967,UK
1245,2013,Tax % GDP,0.33090108516907374,UK
1246,2014,Tax % GDP,0.32714462525689597,UK
1247,2015,Tax % GDP,0.3297237953574514,UK
1248,2016,Tax % GDP,0.33926721172304425,UK
1249,2017,Tax % GDP,0.3390023751945447,UK
1250,2018,Tax % GDP,0.33699699988704745,UK
1251,2019,Tax % GDP,0.3361462472118008,UK
1252,2020,Tax % GDP,0.35544615727622086,UK
1253,2021,Tax % GDP,0.36223253893792207,UK
1254,1965,Adjusted Other,54573.37845341762,UK
1255,1966,Adjusted Other,56032.88582523732,UK
1256,1967,Adjusted Other,60894.078159736964,UK
1257,1968,Adjusted Other,66241.69213031267,UK
1258,1969,Adjusted Other,75096.6386795821,UK
1259,1970,Adjusted Other,79688.08826794816,UK
1260,1971,Adjusted Other,72850.77897280906,UK
1261,1972,Adjusted Other,69263.21936053503,UK
1262,1973,Adjusted Other,47729.02137209376,UK
1263,1974,Adjusted Other,37896.762254074885,UK
1264,1975,Adjusted Other,35200.79635371722,UK
1265,1976,Adjusted Other,41284.680706938816,UK
1266,1977,Adjusted Other,49268.579724910116,UK
1267,1978,Adjusted Other,49387.67020483856,UK
1268,1979,Adjusted Other,44030.0501382612,UK
1269,1980,Adjusted Other,53691.25410823853,UK
1270,1981,Adjusted Other,48627.844535752374,UK
1271,1982,Adjusted Other,62550.38893653761,UK
1272,1983,Adjusted Other,52732.75937289168,UK
1273,1984,Adjusted Other,53703.79725724697,UK
1274,1985,Adjusted Other,51101.01035345404,UK
1275,1986,Adjusted Other,53779.28430555848,UK
1276,1987,Adjusted Other,55987.06327519927,UK
1277,1988,Adjusted Other,59848.45580524177,UK
1278,1989,Adjusted Other,54939.49968430126,UK
1279,1990,Adjusted Other,73664.76567531459,UK
1280,1991,Adjusted Other,71503.04773328512,UK
1281,1992,Adjusted Other,68601.36042632308,UK
1282,1993,Adjusted Other,59079.188699524675,UK
1283,1994,Adjusted Other,58670.067214196664,UK
1284,1995,Adjusted Other,65397.83423275285,UK
1285,1996,Adjusted Other,66523.87343403965,UK
1286,1997,Adjusted Other,68935.78443144221,UK
1287,1998,Adjusted Other,72181.56940176722,UK
1288,1999,Adjusted Other,74192.00728190877,UK
1289,2000,Adjusted Other,74304.32000845391,UK
1290,2001,Adjusted Other,72175.33888093347,UK
1291,2002,Adjusted Other,72914.84175470739,UK
1292,2003,Adjusted Other,73585.28272592276,UK
1293,2004,Adjusted Other,74720.31474257272,UK
1294,2005,Adjusted Other,72712.72896036936,UK
1295,2006,Adjusted Other,71373.00846567948,UK
1296,2007,Adjusted Other,72550.11692962295,UK
1297,2008,Adjusted Other,73432.74809470866,UK
1298,2009,Adjusted Other,76480.48567457066,UK
1299,2010,Adjusted Other,78127.47299871256,UK
1300,2011,Adjusted Other,79533.58149946225,UK
1301,2012,Adjusted Other,78095.36029538186,UK
1302,2013,Adjusted Other,76991.46972347517,UK
1303,2014,Adjusted Other,78227.0033014341,UK
1304,2015,Adjusted Other,78878.49727210565,UK
1305,2016,Adjusted Other,80894.45872580144,UK
1306,2017,Adjusted Other,82121.71942186262,UK
1307,2018,Adjusted Other,82859.76309360622,UK
1308,2019,Adjusted Other,84054.84753380006,UK
1309,2020,Adjusted Other,75164.58839999989,UK
1310,2021,Adjusted Other,78074.0,UK
